"nut","nuTilda","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,-0.19538,-0.0040749,1.1691e-21,-0.00089492,0,0,0,0.92804,0.07612,-0.5,0.042245
0,0,-0.19251,-0.0040897,0,-0.00096105,0,0,0,0.93408,0.070224,-0.5,0.040915
0,0,-0.18901,-0.0040994,1.2081e-21,-0.0010307,0,0,0,0.93991,0.064556,-0.5,0.039547
0,0,-0.18482,-0.0041032,1.2077e-21,-0.0011039,0,0,0,0.94553,0.059119,-0.5,0.038142
0,0,-0.1798,-0.0041042,7.9804e-25,-0.0011818,0,0,0,0.95093,0.053915,-0.5,0.0367
0,0,-0.17381,-0.004114,5.9939e-22,-0.0012693,0,0,0,0.95612,0.048943,-0.5,0.035224
0,0,-0.16671,-0.0041143,1.1937e-21,-0.0013624,0,0,0,0.96109,0.044207,-0.5,0.033715
0,0,-0.15832,-0.0040907,5.9646e-22,-0.0014549,0,0,0,0.96584,0.039706,-0.5,0.032173
0,0,-0.14842,-0.0040565,5.6401e-22,-0.0015496,0,0,0,0.97039,0.035443,-0.5,0.0306
0,0,-0.13676,-0.0040134,5.6525e-22,-0.0016487,0,0,0,0.97472,0.031417,-0.5,0.028997
0,0,-0.123,-0.0039661,4.9789e-22,-0.0017569,0,0,0,0.97885,0.02763,-0.5,0.027365
0,0,-0.10666,-0.0039269,1.3633e-21,-0.0018873,0,0,0,0.98276,0.024083,-0.5,0.025704
0,0,-0.087026,-0.0039161,5.25e-22,-0.0020632,0,0,0,0.98647,0.020777,-0.5,0.024017
0,0,-0.063248,-0.0039504,-1.1842e-22,-0.0023123,0,0,0,0.98998,0.017713,-0.5,0.022304
0,0,-0.034582,-0.0040179,2.2423e-22,-0.002647,0,0,0,0.9933,0.014891,-0.5,0.020566
0,0,-0.00040174,-0.0040754,0,-0.0030543,0,0,0,0.99642,0.012312,-0.5,0.018804
0,0,0.039868,-0.0040605,-1.4843e-24,-0.0034915,0,0,0,0.99936,0.0099763,-0.5,0.017018
0,0,0.08676,-0.0039111,-5.0536e-22,-0.0038893,0,0,0,1.0021,0.0078853,-0.5,0.01521
0,0,0.14064,-0.0035904,-1.141e-22,-0.0041715,0,0,0,1.0047,0.006039,-0.5,0.013379
0,0,0.20133,-0.003108,9.5449e-22,-0.0042847,0,0,0,1.0072,0.004438,-0.5,0.011528
0,0,0.26738,-0.0025051,-1.0006e-21,-0.0041849,0,0,0,1.0095,0.0030827,-0.5,0.0096556
0,0,0.33543,-0.0018386,-1.5622e-21,-0.0038258,0,0,0,1.0117,0.0019733,-0.5,0.0077633
0,0,0.40005,-0.0011881,7.069e-24,-0.0031858,0,0,0,1.0138,0.0011101,-0.5,0.0058512
0,0,0.45414,-0.00064501,5.2018e-22,-0.0022819,0,0,0,1.0158,0.00049344,-0.5,0.0039198
0,0,0.48983,-0.00029368,9.1835e-22,-0.0011853,0,0,0,1.0178,0.00012337,-0.5,0.0019693
0,0,0.50208,-0.00017529,1.2179e-23,6.17e-07,0,0,0,1.0198,0,-0.5,0
