"nut","k","gammaInt","p","omega","ReThetat","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0.025034,-0.10928,1.0829e+08,282.6,-0.00031375,-1.3273e-05,-1.1257e-21,0,0,0,0.58855,0.41441,-0.056799,0.5
0,0,0.024635,-0.1147,1.0827e+08,288.96,-0.00034527,-1.2648e-05,-6.383e-22,0,0,0,0.60749,0.39548,-0.057553,0.5
0,0,0.02426,-0.12006,1.0825e+08,295.56,-0.00037816,-1.1595e-05,-6.3829e-22,0,0,0,0.62613,0.37685,-0.058186,0.5
0,0,0.023906,-0.12533,1.0822e+08,302.36,-0.00041245,-1.0056e-05,1.0989e-31,0,0,0,0.64444,0.35855,-0.058696,0.5
0,0,0.02357,-0.13048,1.0818e+08,309.35,-0.00044818,-7.9706e-06,-1.682e-28,0,0,0,0.66236,0.34063,-0.059081,0.5
0,0,0.023251,-0.13548,1.0815e+08,316.48,-0.00048539,-5.2785e-06,-1.7348e-28,0,0,0,0.67987,0.32312,-0.059338,0.5
0,0,0.02295,-0.1403,1.081e+08,323.7,-0.00052411,-1.9138e-06,6.8169e-24,0,0,0,0.69693,0.30606,-0.059468,0.5
0,0,0.022666,-0.14493,1.0805e+08,330.97,-0.0005644,2.1953e-06,-4.5743e-22,0,0,0,0.71351,0.28948,-0.059472,0.5
0,0,0.022403,-0.14933,1.08e+08,338.22,-0.0006063,7.122e-06,-9.5815e-22,0,0,0,0.72959,0.27341,-0.059353,0.5
0,0,0.022162,-0.15349,1.0794e+08,345.41,-0.00064986,1.2945e-05,3.1445e-23,0,0,0,0.74514,0.25786,-0.059112,0.5
0,0,0.021938,-0.15738,1.0787e+08,352.51,-0.00069514,1.9747e-05,-5.9196e-22,0,0,0,0.76015,0.24285,-0.058755,0.5
0,0,0.021728,-0.16098,1.078e+08,359.49,-0.00074218,2.7618e-05,-1.1173e-21,0,0,0,0.77461,0.2284,-0.058286,0.5
0,0,0.021532,-0.16429,1.0772e+08,366.33,-0.00079107,3.6651e-05,1.2623e-21,0,0,0,0.78851,0.21451,-0.057711,0.5
0,0,0.021352,-0.16728,1.0764e+08,373.03,-0.00084185,4.6951e-05,1.2623e-21,0,0,0,0.80184,0.2012,-0.057035,0.5
0,0,0.021187,-0.16994,1.0754e+08,379.58,-0.00089463,5.8631e-05,-5.8486e-28,0,0,0,0.8146,0.18845,-0.056267,0.5
0,0,0.021037,-0.17225,1.0744e+08,386.01,-0.00094951,7.1812e-05,3.0233e-21,0,0,0,0.8268,0.17628,-0.055412,0.5
0,0,0.0209,-0.17421,1.0733e+08,392.33,-0.0010066,8.6631e-05,3.0233e-21,0,0,0,0.83844,0.16468,-0.054478,0.5
0,0,0.020778,-0.17581,1.0721e+08,398.57,-0.001066,0.00010324,1.7002e-21,0,0,0,0.84953,0.15364,-0.053471,0.5
0,0,0.020668,-0.17703,1.0708e+08,404.74,-0.0011279,0.00012181,3.5017e-21,0,0,0,0.86007,0.14315,-0.0524,0.5
0,0,0.020572,-0.17786,1.0694e+08,410.86,-0.0011925,0.00014252,3.7085e-21,0,0,0,0.87008,0.13321,-0.051272,0.5
0,0,0.020488,-0.17829,1.0679e+08,416.96,-0.0012598,0.0001656,-2.1271e-21,0,0,0,0.87958,0.12379,-0.050093,0.5
0,0,0.020415,-0.1783,1.0662e+08,423.07,-0.0013302,0.00019128,-4.0342e-21,0,0,0,0.88857,0.11488,-0.04887,0.5
0,0,0.020353,-0.1779,1.0645e+08,429.2,-0.0014038,0.00021984,2.2492e-21,0,0,0,0.89706,0.10648,-0.047609,0.5
0,0,0.020303,-0.17705,1.0626e+08,435.37,-0.0014808,0.00025158,-2.4914e-21,0,0,0,0.90509,0.098553,-0.046318,0.5
0,0,0.020263,-0.17574,1.0605e+08,441.58,-0.0015615,0.00028685,-4.7406e-21,0,0,0,0.91267,0.091094,-0.045001,0.5
0,0,0.020233,-0.17394,1.0583e+08,447.86,-0.0016461,0.00032605,1.487e-29,0,0,0,0.91981,0.084081,-0.043665,0.5
0,0,0.020212,-0.17164,1.0559e+08,454.22,-0.0017348,0.00036962,-2.7443e-21,0,0,0,0.92653,0.077498,-0.042313,0.5
0,0,0.020201,-0.1688,1.0533e+08,460.65,-0.0018279,0.00041806,-2.7443e-21,0,0,0,0.93285,0.071325,-0.040951,0.5
0,0,0.020199,-0.16538,1.0506e+08,467.16,-0.0019255,0.00047193,-1.4941e-21,0,0,0,0.93879,0.065545,-0.039583,0.5
0,0,0.020205,-0.16136,1.0476e+08,473.73,-0.0020279,0.00053185,-1.4941e-21,0,0,0,0.94437,0.060139,-0.038212,0.5
0,0,0.02022,-0.15668,1.0444e+08,480.32,-0.0021352,0.00059852,-4.0393e-27,0,0,0,0.9496,0.055088,-0.036843,0.5
0,0,0.020243,-0.15129,1.041e+08,486.9,-0.0022474,0.00067269,-2.068e-28,0,0,0,0.9545,0.050377,-0.035479,0.5
0,0,0.020275,-0.14515,1.0374e+08,493.42,-0.0023647,0.00075521,-2.0016e-28,0,0,0,0.9591,0.045986,-0.034122,0.5
0,0,0.020316,-0.13817,1.0334e+08,499.84,-0.0024868,0.00084696,-3.9409e-28,0,0,0,0.9634,0.041901,-0.032774,0.5
0,0,0.020365,-0.13031,1.0292e+08,506.12,-0.0026135,0.00094891,2.7456e-29,0,0,0,0.96743,0.038103,-0.031439,0.5
0,0,0.020424,-0.12147,1.0247e+08,512.22,-0.0027445,0.0010621,-1.6992e-21,0,0,0,0.97119,0.034579,-0.030117,0.5
0,0,0.020494,-0.11159,1.0199e+08,518.11,-0.0028789,0.0011874,-1.6992e-21,0,0,0,0.97471,0.031313,-0.028812,0.5
0,0,0.020575,-0.10058,1.0147e+08,523.75,-0.0030158,0.001326,1.1479e-41,0,0,0,0.97799,0.02829,-0.027524,0.5
0,0,0.020669,-0.088348,1.0092e+08,529.1,-0.0031539,0.0014787,-1.4678e-21,0,0,0,0.98106,0.025496,-0.026255,0.5
0,0,0.020777,-0.074812,1.0033e+08,534.11,-0.0032916,0.0016463,-1.4678e-21,0,0,0,0.98392,0.02292,-0.025007,0.5
0,0,0.020901,-0.059886,9.9697e+07,538.75,-0.0034265,0.0018294,2.9408e-39,0,0,0,0.9866,0.020547,-0.02378,0.5
0,0,0.021044,-0.043491,9.9023e+07,542.97,-0.0035561,0.0020281,-1.3376e-28,0,0,0,0.98909,0.018367,-0.022576,0.5
0,0,0.021208,-0.025563,9.8304e+07,546.72,-0.0036771,0.0022422,9.186e-30,0,0,0,0.99141,0.016367,-0.021395,0.5
0,0,0.021395,-0.0060522,9.7538e+07,549.99,-0.0037856,0.0024706,1.4295e-28,0,0,0,0.99357,0.014538,-0.02024,0.5
0,0,0.021609,0.015064,9.6723e+07,552.75,-0.0038774,0.0027116,-1.7898e-22,0,0,0,0.99559,0.012868,-0.01911,0.5
0,0,0.021854,0.037773,9.5855e+07,555.02,-0.0039479,0.0029623,-5.4529e-22,0,0,0,0.99747,0.011349,-0.018008,0.5
0,0,0.022133,0.062021,9.4932e+07,556.82,-0.0039922,0.0032187,-9.5929e-22,0,0,0,0.99921,0.0099699,-0.016934,0.5
0,0,0.022453,0.087704,9.3952e+07,558.19,-0.0040056,0.0034755,2.71e-22,0,0,0,1.0008,0.0087229,-0.015888,0.5
0,0,0.022819,0.11466,9.2913e+07,559.18,-0.0039838,0.0037262,8.6397e-22,0,0,0,1.0024,0.0075992,-0.014873,0.5
0,0,0.023237,0.14267,9.1811e+07,559.87,-0.0039235,0.0039633,9.874e-29,0,0,0,1.0038,0.0065904,-0.01389,0.5
0,0,0.023715,0.17144,9.0645e+07,560.33,-0.0038226,0.0041785,1.3564e-27,0,0,0,1.0051,0.0056885,-0.012939,0.5
0,0,0.024264,0.20065,8.9412e+07,560.61,-0.0036808,0.004363,-1.2404e-21,0,0,0,1.0063,0.0048857,-0.012022,0.5
0,0,0.024894,0.22991,8.8111e+07,560.77,-0.0035,0.0045087,-2.7585e-21,0,0,0,1.0074,0.0041745,-0.011139,0.5
0,0,0.025617,0.25882,8.674e+07,560.87,-0.0032838,0.0046081,-1.518e-21,0,0,0,1.0085,0.0035476,-0.010292,0.5
0,0,0.026449,0.28698,8.5297e+07,560.94,-0.0030382,0.0046559,-4.3264e-27,0,0,0,1.0095,0.0029977,-0.0094816,0.5
0,0,0.027408,0.314,8.3781e+07,561,-0.0027704,0.0046486,3.4275e-28,0,0,0,1.0104,0.002518,-0.0087076,0.5
0,0,0.028518,0.33953,8.2192e+07,561.07,-0.0024889,0.0045856,4.6691e-27,0,0,0,1.0112,0.0021018,-0.0079708,0.5
0,0,0.029804,0.36331,8.0529e+07,561.16,-0.0022023,0.0044688,-2.6071e-26,0,0,0,1.012,0.0017427,-0.0072711,0.5
0,0,0.031299,0.38511,7.8792e+07,561.28,-0.0019188,0.0043022,-9.6639e-22,0,0,0,1.0127,0.0014346,-0.0066085,0.5
0,0,0.033042,0.4048,7.6982e+07,561.43,-0.001646,0.004092,1.218e-21,0,0,0,1.0134,0.001172,-0.0059826,0.5
0,0,0.035083,0.42235,7.51e+07,561.6,-0.0013896,0.0038456,1.5714e-21,0,0,0,1.014,0.00094938,-0.0053925,0.5
0,0,0.037482,0.43775,7.3148e+07,561.78,-0.0011542,0.003571,-1.2968e-21,0,0,0,1.0146,0.0007619,-0.0048376,0.5
0,0,0.040304,0.45109,7.1128e+07,561.97,-0.00094261,0.0032763,7.509e-23,0,0,0,1.0152,0.00060505,-0.0043166,0.5
0,0,0.043632,0.46248,6.9043e+07,562.16,-0.00075616,0.0029691,7.5896e-22,0,0,0,1.0157,0.00047478,-0.0038284,0.5
0,0,0.047597,0.47206,6.6898e+07,562.34,-0.00059497,0.0026563,9.2264e-22,0,0,0,1.0161,0.0003674,-0.0033716,0.5
0,0,0.052377,0.48002,6.4696e+07,562.51,-0.00045821,0.0023436,1.1756e-21,0,0,0,1.0166,0.00027968,-0.0029448,0.5
0,0,0.058231,0.48652,6.2442e+07,562.65,-0.00034432,0.002036,5.2953e-22,0,0,0,1.017,0.00020872,-0.0025464,0.5
0,0,0.065547,0.49173,6.0143e+07,562.78,-0.00025132,0.001737,5.783e-22,0,0,0,1.0174,0.00015201,-0.0021751,0.5
0,0,0.074935,0.49584,5.7804e+07,562.87,-0.000177,0.0014496,3.0171e-22,0,0,0,1.0177,0.00010732,-0.0018292,0.5
0,0,0.087431,0.49898,5.5433e+07,562.95,-0.00011906,0.0011755,1.7844e-22,0,0,0,1.018,7.2751e-05,-0.0015072,0.5
0,0,0.10495,0.50131,5.3037e+07,563,-7.5276e-05,0.00091598,1.7844e-22,0,0,0,1.0183,4.6645e-05,-0.0012077,0.5
0,0,0.13149,0.50296,5.0625e+07,563.03,-4.3553e-05,0.00067179,5.2463e-23,0,0,0,1.0186,2.7581e-05,-0.00092931,0.5
0,0,0.17688,0.50404,4.8205e+07,563.04,-2.1944e-05,0.00044269,1.0927e-22,0,0,0,1.0189,1.4344e-05,-0.00067061,0.5
0,0,0.26685,0.50465,4.5786e+07,563.03,-8.75e-06,0.00022907,2.6077e-23,0,0,0,1.0191,5.899e-06,-0.0004303,0.5
0,0,0.34646,0.50487,4.3398e+07,562.96,-2.4399e-06,2.951e-05,-3.0726e-23,0,0,0,1.0193,1.3657e-06,-0.00020716,0.5
0,0,0.29729,0.50478,4.2217e+07,562.88,-2.0868e-06,-0.0001605,5.0445e-40,0,0,0,1.0195,0,0,0.5
0,0,0.19701,0.50439,4.3398e+07,562.83,-7.166e-06,-0.00034941,-1.3142e-39,0,0,0,1.0198,1.3657e-06,0.00020716,0.5
0,0,0.14666,0.50366,4.5786e+07,562.8,-1.8066e-05,-0.00054854,-5.6662e-23,0,0,0,1.02,5.899e-06,0.0004303,0.5
0,0,0.11704,0.50251,4.8205e+07,562.77,-3.6235e-05,-0.00076261,-4.388e-24,0,0,0,1.0202,1.4344e-05,0.00067061,0.5
0,0,0.097405,0.50085,5.0625e+07,562.74,-6.3175e-05,-0.00099125,5.2274e-23,0,0,0,1.0205,2.7581e-05,0.00092931,0.5
0,0,0.08335,0.49858,5.3037e+07,562.7,-0.00010061,-0.0012346,-1.7735e-22,0,0,0,1.0208,4.6645e-05,0.0012077,0.5
0,0,0.072761,0.49558,5.5433e+07,562.64,-0.00015046,-0.0014925,-1.7735e-22,0,0,0,1.0211,7.2751e-05,0.0015072,0.5
0,0,0.064488,0.49172,5.7804e+07,562.56,-0.00021482,-0.0017644,-2.9896e-22,0,0,0,1.0214,0.00010732,0.0018292,0.5
